"Title","Link","Words"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","new"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","agency"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","application"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","form"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","211sonoma@icfs.org"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/06/2-1-1-Sonoma-Application-Form-2019.doc","policy"
"Email","mailto:211sonoma@icfs.org","new"
"Email","mailto:211sonoma@icfs.org","agency"
"Email","mailto:211sonoma@icfs.org","application"
"Email","mailto:211sonoma@icfs.org","form"
"Email","mailto:211sonoma@icfs.org","211sonoma@icfs.org"
"Email","mailto:211sonoma@icfs.org","policy"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","new"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","agency"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","application"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","form"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","211sonoma@icfs.org"
,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2020/10/2-1-1-Sonoma-County-Inclusion-Exclusion-Policy.pdf","policy"
"Microsoft Power BI","https://app.powerbi.com/view?r=eyJrIjoiMDczOTczYzQtYWZkNS00OTNlLWFjZDAtYzljYWNmMTg2NjUxIiwidCI6ImI4NTFhY2ZmLTM5ODgtNDY1OC04OWVhLWJmM2M3NmRkZTlhNiIsImMiOjZ9","contact"
"Microsoft Power BI","https://app.powerbi.com/view?r=eyJrIjoiMDczOTczYzQtYWZkNS00OTNlLWFjZDAtYzljYWNmMTg2NjUxIiwidCI6ImI4NTFhY2ZmLTM5ODgtNDY1OC04OWVhLWJmM2M3NmRkZTlhNiIsImMiOjZ9","interactive"
"Microsoft Power BI","https://app.powerbi.com/view?r=eyJrIjoiMDczOTczYzQtYWZkNS00OTNlLWFjZDAtYzljYWNmMTg2NjUxIiwidCI6ImI4NTFhY2ZmLTM5ODgtNDY1OC04OWVhLWJmM2M3NmRkZTlhNiIsImMiOjZ9","report"
"Home - United Way of the Wine Country","https://unitedwaywinecountry.org/","united"
"Home - United Way of the Wine Country","https://unitedwaywinecountry.org/","way"
"Home - United Way of the Wine Country","https://unitedwaywinecountry.org/","wine"
